UniqueId,gender,cml,ge,obc,sc,st,cml_pd,ge_pd,obc_pd,sc_pd,st_pd,dob
G111100093,1,0,1,0,0,0,0,1,0,0,0,02-10-95
G111100105,1,0,3,0,0,0,0,0,0,0,0,01-01-95
G111100327,1,0,0,0,1,0,0,0,0,1,0,01-01-95
G111100459,2,0,2,0,2,0,0,0,0,0,0,01-01-95
G111100469,1,0,4,1,0,0,0,0,1,0,0,01-01-95
G111100690,2,0,0,2,0,0,0,0,0,0,0,01-01-95
G111100778,1,0,5,0,0,0,0,0,0,0,0,01-01-95
G111100829,1,0,6,0,0,0,0,0,0,0,0,01-01-95
G111101131,1,0,7,0,0,0,0,0,0,0,0,01-01-95
rawal,1,1,1,1,1,1,1,1,1,1,1,20-02-95
lokit,1,1,1,1,1,1,1,1,1,1,1,10-10-95
animesh,1,0,1000,0,0,0,0,100,0,0,0,26-06-95
siddharth,0,0,38,0,0,0,0,0,0,0,0,02-10-95
amit,1,0,80,10,0,0,0,0,0,0,0,16-12-95
